name,url,lat,lng
Munich,http://www.neurokopfzentrum.med.tum.de/neurochirurgie/,48.13,11.56
Bern,http://www.neurochirurgie.insel.ch/en/,46.95,7.45
Geneva,http://www.hug-ge.ch/neurochirurgie,46.2,6.15
